,Vol_RMSE,Vol_RMSE_StD,Vol_MAD,Vol_MAD_StD,VaR_0.01_RMSE,VaR_0.01_RMSE_StD,VaR_0.05_RMSE,VaR_0.05_RMSE_StD,VaR_0.01_MAD,VaR_0.01_MAD_StD,VaR_0.05_MAD,VaR_0.05_MAD_StD
BayMS-GARCH,0.563999886,0.359581362,0.40506146,0.211888547,1.707525604,1.056184895,0.896847136,0.545162421,1.210860226,0.789873167,0.634473904,0.35037374
MS-GARCH,0.92944971,1.039589754,0.338460242,0.059685461,1.429418761,0.82827424,0.782375886,0.45660678,0.877975796,0.105593166,0.496733334,0.054770042
BayMix-GARCH,0.698622574,0.885326832,0.542022268,0.85475813,2.122764383,2.177202165,1.109972133,1.515995613,1.645781023,2.123100793,0.867793326,1.485040377
Mix-GARCH,0.823604248,0.794850489,0.330029663,0.048822767,1.370513721,0.82842527,0.737385435,0.465333118,0.862746634,0.107788135,0.482573126,0.051812422
Bay-GARCH,0.479251705,0.360142659,0.317354364,0.050193191,1.343855905,0.84381841,0.787095629,0.582025613,0.823282245,0.093521663,0.532925393,0.099849448
RF-GARCH,0.703896979,0.380085442,0.439836624,0.051689583,1.930642731,0.938988683,1.11241392,0.605850465,1.240220622,0.112710347,0.696471018,0.09026884
T-GARCH,0.4805735,0.348608509,0.305874326,0.057929003,1.40199988,0.83249146,0.770216379,0.56322625,0.832232949,0.115263158,0.515757845,0.106739953
"GARCH(3,3)",0.546062731,0.411582327,0.345676702,0.092009556,1.49876916,0.978803728,0.891670444,0.665671786,0.892355875,0.182544021,0.580427687,0.16430902
GARCH,0.527175507,0.425587768,0.338604895,0.098157203,1.463941009,0.998513379,0.860600394,0.691524026,0.867663532,0.193471961,0.567635395,0.176454533
