"","X_sim","Vol_true","VaR_1%_true","VaR_5%_true"
"t=1",-0.833836817758655,1.72663460754811,4.50041020221228,2.69501720994025
"t=2",-1.65429270104871,1.52694583889642,3.97992870150645,2.38333304364621
"t=3",-0.977706459039764,1.57478960693734,4.10463173992715,2.45800997743114
"t=4",0.242611086319041,1.8636992749017,4.85766426431917,2.90895456285663
"t=5",1.76998403191138,1.54955542745286,4.03885977039757,2.41862321448079
"t=6",-0.666207244127506,1.60842081052929,4.19229024688413,2.51050323343047
"t=7",1.3008318330662,1.53149909108267,3.99179658745213,2.3904399862208
"t=8",-1.27133986221318,1.50885005152218,3.93276269095617,2.35508823829608
"t=9",-0.242587869674625,1.74415163413849,4.54606769386402,2.72235865666075
"t=10",-1.73044846596076,1.5026710156606,3.91665725908904,2.34544369166473
"t=11",-0.111417764581529,1.99983109233374,5.21248688708986,3.1214358771984
"t=12",-1.0890607477335,1.61506021619349,4.20959561587022,2.52086634815698
"t=13",-2.08165549800801,2.0508909205465,5.34557246918544,3.20113259772538
"t=14",-9.3663066127272,2.35675003729794,6.14278311436212,3.67853272619424
"t=15",-2.15739147706268,4.42883261786801,11.5435908733738,6.91274232134632
"t=16",-0.418962619598622,3.12677004909174,8.14981222279952,4.88041827552282
"t=17",-2.08957192294471,3.62536666095098,9.44938612742905,5.65865267665456
"t=18",0.482373180330888,3.05184058321288,7.95451129971285,4.76346463681294
"t=19",-0.338425820374855,2.1844974605521,5.69381304834151,3.40967233340632
"t=20",-0.604752563799975,1.72886786284866,4.5062311007943,2.69850298593644
"t=21",-0.245547299696607,1.56575911278594,4.081094085908,2.44391473281721
"t=22",0.636817879252136,1.42226793297912,3.70708955321355,2.2199465594912
"t=23",-0.448156073949157,1.37486211364606,3.58352801214513,2.14595319784109
"t=24",-0.720534808396189,1.3772033398333,3.58963033290985,2.14960750016967
"t=25",-0.818291830382715,1.45674119279183,3.79694284903331,2.27375413873922
"t=26",0.0189024530430264,1.52235312095466,3.96795794950678,2.37616450095666
"t=27",1.24745774966237,1.38819849823372,3.61828881272017,2.16676929050193
"t=28",-1.90311625428361,1.44293734986585,3.76096363532924,2.25220841384398
"t=29",-1.50435660395133,2.0900055771165,5.44752339656413,3.26218469998038
"t=30",0.365268006804373,2.08120433385278,5.42458327663196,3.24844728155908
"t=31",-0.319362687520026,1.4185064579562,3.69728540559917,2.21407546211067
"t=32",1.19156020562023,1.35102284723145,3.52139183271461,2.10874368461875
"t=33",0.290543408126715,1.41917871961924,3.69903763113297,2.21512476156496
"t=34",1.39344135717231,1.35000384802756,3.51873584841242,2.10715317995759
"t=35",0.914658786045886,2.13049310746166,5.55305266942313,3.32537965193558
"t=36",-1.0628435819147,1.41924490719492,3.69921014663773,2.21522807042647
"t=37",0.590721526543588,1.42535249624889,3.71512935500367,2.22476109932542
"t=38",0.434623077664142,1.37202123883327,3.5761233754404,2.14151901907606
"t=39",-0.0310492070094312,1.33819144962575,3.48794726231107,2.08871580076667
"t=40",-0.271660569275052,1.78204704391548,4.64484069889464,2.78150769785352
"t=41",-1.93108491059886,1.79578012732241,4.68063548049012,2.80294297777055
"t=42",0.00254632050342219,2.26876585593568,5.9134555509593,3.54120263797685
"t=43",1.13034072240606,1.9044603526259,4.96390652845615,2.9725764811723
"t=44",2.4606009323528,2.05913066779957,5.3670490702215,3.21399360523415
"t=45",11.3357099896604,2.46916477538569,6.43578803384972,3.85399524297284
"t=46",-17.5088994453083,6.20591487177571,16.1754910279835,9.68650072791598
"t=47",10.8302674691808,8.57185648531547,22.3422316509651,13.3793801236661
"t=48",7.19155046308947,7.33823058596125,19.1268306860495,11.4538754367718
"t=49",-1.95803043565814,5.73441634917865,14.9465473058157,8.95056237286069
"t=50",0.965158953966272,3.86266604609869,10.0678983298538,6.0290413646176
"t=51",6.27599224014089,2.67476764500353,6.97168442326948,4.17491043233072
"t=52",2.05602913643207,3.42627618582694,8.93046405700685,5.34790235666857
"t=53",1.74404856772911,2.6841938846291,6.99625357344982,4.18962337617239
"t=54",-0.591249549690934,2.395549847904,6.24391340720582,3.73909340120251
"t=55",0.442068194889843,1.6612776434255,4.33005965622113,2.59300480828336
"t=56",-1.27547323029592,1.46390649332694,3.81561894384176,2.2849380963479
"t=57",1.45571417071689,1.47735414871392,3.85066976770154,2.30592786600896
"t=58",-1.33708970932745,1.51553649301298,3.95019065711074,2.36552476888117
"t=59",2.50793962261059,1.8187639103687,4.74054187368691,2.83881720998419
"t=60",2.91231144778882,2.49926958030555,6.51425511113674,3.90098432045699
"t=61",2.02560712018459,2.64835678909011,6.90284548949489,4.13368705426059
"t=62",0.626564868074558,2.45226730625534,6.39174539614667,3.8276208323641
"t=63",-1.30274645512677,2.09364170093951,5.45700082084256,3.26786014297083
"t=64",-6.1554231531725,2.15404088499484,5.61442909370331,3.36213419480778
"t=65",-0.295946829877147,3.80975961612012,9.92999964752852,5.94646237617069
"t=66",1.49290678407334,2.38851168933142,6.22556870329084,3.72810789309531
"t=67",0.464786059404815,2.27220558807467,5.922421087468,3.54657154305475
