,Vol_RMSE,Vol_RMSE_StD,Vol_MAD,Vol_MAD_StD,VaR_0.01_RMSE,VaR_0.01_RMSE_StD,VaR_0.05_RMSE,VaR_0.05_RMSE_StD,VaR_0.01_MAD,VaR_0.01_MAD_StD,VaR_0.05_MAD,VaR_0.05_MAD_StD
BayMS-GARCH,0.862233959,1.113550826,0.626254922,1.126539509,2.988668937,3.538947774,1.471977122,1.881612762,2.073586683,3.549266976,1.013777234,1.887599957
MS-GARCH,1.275741862,1.338454818,0.324699164,0.081421528,2.044599733,1.261954927,1.020800248,0.636032061,0.85856667,0.201762857,0.451245385,0.088094976
BayMix-GARCH,0.744279853,0.48247565,0.526971338,0.489222988,2.747280488,1.823331648,1.23280696,0.884689787,1.790325643,1.703243555,0.7655235,0.816203778
Mix-GARCH,1.042713223,0.952153151,0.325258693,0.094186846,2.001586745,1.231468251,0.958659104,0.558799037,0.832191725,0.193868425,0.42796804,0.078649297
Bay-GARCH,0.541695399,0.261211344,0.267725901,0.033962552,1.489137809,0.527447329,0.903946289,0.481106777,0.829029548,0.096505219,0.452401393,0.085621192
RF-GARCH,0.858497093,0.431909037,0.438393302,0.085234838,2.34892548,1.062841009,1.355329735,0.700847505,1.270021543,0.182589461,0.691121814,0.149399782
T-GARCH,0.40109615,0.2247212,0.196527937,0.050115192,1.427037419,0.681118138,0.599515526,0.322088722,0.702665576,0.131452724,0.350055865,0.111420422
"GARCH(3,3)",0.573091887,0.272794229,0.282338878,0.041858542,1.554188101,0.533027381,0.952386803,0.502075968,0.866905625,0.094816845,0.471296164,0.097392532
GARCH,0.548998557,0.276016898,0.271719917,0.039346839,1.499869933,0.532984289,0.915420159,0.508881574,0.841613449,0.097654889,0.454144809,0.09444011
