,Vol_RMSE,Vol_RMSE_StD,Vol_MAD,Vol_MAD_StD,VaR_0.01_RMSE,VaR_0.01_RMSE_StD,VaR_0.05_RMSE,VaR_0.05_RMSE_StD,VaR_0.01_MAD,VaR_0.01_MAD_StD,VaR_0.05_MAD,VaR_0.05_MAD_StD
BayMS-GARCH,0.519543617,0.322450155,0.441422697,0.325442701,1.592021965,1.398921577,0.791123764,0.425996641,1.369967691,1.414237098,0.638676902,0.41551439
MS-GARCH,0.561452111,0.437460163,0.323010139,0.099549962,1.039526336,0.357407127,0.697881335,0.212514663,0.766869021,0.273350762,0.517316461,0.153871534
BayMix-GARCH,0.428167825,0.187748752,0.349752253,0.188073509,1.105233761,0.544085026,0.65737353,0.166979421,0.868097692,0.516196845,0.502776383,0.099277985
Mix-GARCH,0.486427176,0.525835972,0.311095451,0.09575168,0.999728988,0.31536373,0.673221333,0.195712924,0.745023827,0.236488359,0.505727806,0.135015014
Bay-GARCH,0.367081341,0.050507775,0.287944979,0.020443601,0.863256772,0.120039787,0.603795076,0.085096452,0.673255293,0.047779139,0.474594064,0.034016256
RF-GARCH,0.531446422,0.087701828,0.372130077,0.023335353,1.236329253,0.204024961,0.874151574,0.144256669,0.865704014,0.054286148,0.612099508,0.03838324
T-GARCH,0.368453817,0.053708388,0.269621741,0.019894537,0.853958898,0.124944395,0.608700031,0.088342437,0.627233965,0.046281614,0.443488299,0.032723602
"GARCH(3,3)",0.372822319,0.048891513,0.288775426,0.020460493,0.867314408,0.113738667,0.613238143,0.080419383,0.671792099,0.047598224,0.474993307,0.033654516
GARCH,0.373147702,0.055142545,0.289961799,0.02689176,0.868071363,0.128280743,0.613773351,0.090701416,0.674552014,0.06255959,0.476944716,0.04423301
