,Vol_RMSE,Vol_RMSE_StD,Vol_MAD,Vol_MAD_StD,VaR_0.01_RMSE,VaR_0.01_RMSE_StD,VaR_0.05_RMSE,VaR_0.05_RMSE_StD,VaR_0.01_MAD,VaR_0.01_MAD_StD,VaR_0.05_MAD,VaR_0.05_MAD_StD
BayMS-GARCH,0.781579085,1.103836995,0.53089214,0.914850663,2.150891591,2.613236458,1.197750331,1.635172116,1.501181861,2.067668815,0.788054968,1.334838256
MS-GARCH,1.455845761,1.536220728,0.251346451,0.299628801,1.383137208,1.879636435,0.746013951,1.119896678,0.60189353,0.42517072,0.267528679,0.151596981
BayMix-GARCH,0.769187266,0.874886565,0.488053623,0.540171923,2.177658885,2.20420029,1.244891797,1.339217305,1.488005079,1.572796035,0.822588652,0.996055812
Mix-GARCH,1.127079244,1.383013704,0.184225506,0.1181103,1.24852512,1.892110848,0.670278589,1.118707001,0.48826847,0.206946989,0.21401293,0.091785946
Bay-GARCH,0.487471532,0.965680297,0.158097289,0.116226091,1.468312654,2.286620262,0.834610282,1.550433516,0.732244415,0.205233519,0.305758819,0.243032373
RF-GARCH,0.783695647,0.844624476,0.401893775,0.087856846,2.160715237,2.083952953,1.246864535,1.343906176,1.269938027,0.184883035,0.61882638,0.15639513
T-GARCH,0.518839481,0.853948429,0.202578038,0.144746998,1.577019052,2.054116494,0.8552245,1.359702132,0.780154474,0.210477553,0.378517654,0.273251739
"GARCH(3,3)",0.581034798,0.999705214,0.22674686,0.14984,1.668025736,2.38256915,0.965903803,1.606304231,0.819485208,0.241735772,0.401691991,0.288101555
GARCH,0.588595903,0.987979493,0.231048163,0.149800204,1.681808703,2.345838111,0.9781508,1.589882106,0.811523639,0.229340928,0.415218438,0.293090603
