,Vol_RMSE,Vol_RMSE_StD,Vol_MAD,Vol_MAD_StD,VaR_0.01_RMSE,VaR_0.01_RMSE_StD,VaR_0.05_RMSE,VaR_0.05_RMSE_StD,VaR_0.01_MAD,VaR_0.01_MAD_StD,VaR_0.05_MAD,VaR_0.05_MAD_StD
BayMS-GARCH,0.559403124,0.345592188,0.381621011,0.25467637,1.517000848,0.874099406,0.813057129,0.230307929,1.151740627,0.918698312,0.551830982,0.216751431
MS-GARCH,0.662965693,0.515736538,0.295798008,0.036885346,1.192817182,0.24043008,0.790165756,0.149242802,0.69258536,0.079893382,0.475705409,0.051682268
BayMix-GARCH,0.643716957,0.515671981,0.477103409,0.510151072,1.680554786,1.181147918,0.860229382,0.321875876,1.278691221,1.246494188,0.59742173,0.351157294
Mix-GARCH,0.644931236,0.69553316,0.341556335,0.210439876,1.286906712,0.474970317,0.875267832,0.395838019,0.796709066,0.463428511,0.56203726,0.358742234
Bay-GARCH,0.417617414,0.065720861,0.272102936,0.025840281,0.971523384,0.155613107,0.691226464,0.108413071,0.633006086,0.060908578,0.449858605,0.042677794
RF-GARCH,0.558610569,0.130168643,0.336907547,0.037623325,1.29952251,0.302817546,0.918832621,0.214108365,0.783764156,0.087524941,0.554163601,0.061884862
T-GARCH,0.258379185,0.060112341,0.14456648,0.022542877,0.601079867,0.139842216,0.424995939,0.098876002,0.336311924,0.052442574,0.237790699,0.037079733
"GARCH(3,3)",0.426972046,0.068698312,0.277032842,0.025837626,0.993285511,0.159816173,0.702306518,0.112998668,0.644474764,0.060107306,0.455678475,0.042499112
GARCH,0.419383373,0.065206767,0.272956505,0.025171425,0.978341691,0.151693623,0.686919518,0.107255587,0.63756786,0.058557491,0.447569501,0.041403309
